No. Item,Target Word,Type of Metonymy,Metonymic Sentence,Literal Sentence,Metonymic Paraphrase,Literal Paraphrase,Sentence with Metonymic Paraphrase (for Experiment 2),Sentence with Literal Paraphrase (for Experiment 2)
53, glass ,CONTAINER-FOR-CONTENT, the gentlemen had somehow spilled his glass , my wife handed the glass back to me , water , container , the heat boils water , the person emptied the container
54, glass ,CONTAINER-FOR-CONTENT, moderate drinkers imbibe a glass or two a day , the senator raised his glass for a toast , alcohol , container , doctors tend to abuse alcohol , his assistant fetches a large container
55, glass ,CONTAINER-FOR-CONTENT, the man managed to swallow 30 glasses within a minute , diners clinked glasses , alcohol , container , older drinkers metabolize alcohol more slowly , the brewery will only refill their containers
56, bottle ,CONTAINER-FOR-CONTENT, the woman chugged the entire bottle at the gate , the child grabs the bottle , liquor , container , the community has been brewing liquor for 66 years , the man crushed the container 
57, bottle ,CONTAINER-FOR-CONTENT, kenyans love to down their brown bottles , a large group of consumers recycle their bottles , beer , container , state brewers craft beers for cold months , my hands held the plastic container
58, bottle ,CONTAINER-FOR-CONTENT, the kid gulps the bottle , a guy breaks a bottle over his own head , sauce , container , a young chef is drizzling sauces , the man was chucking the empty container into the sink
59, glass ,CONTAINER-FOR-CONTENT, the owner quaffed two quick glasses , the crowd was hoisting glasses , wine , container , the company also bottles wine , vendors ditch single-use containers
60, glass ,CONTAINER-FOR-CONTENT, this friend of ours slurped down her glass , a man sidled up waving his glass , wine , container , the machine decants the wine , the bag cradles the container securely
61, pack ,CONTAINER-FOR-CONTENT, the drinker must consume a six pack during the event , one of the men carried her pack , beer , container , drunkards will spill beer on the couch , the driver dumped his container
62, glass ,CONTAINER-FOR-CONTENT, the boyfriend went to pour himself a second glass , a servant refilled his glass , wine , container , the cup-bearer had poisoned his wine , the filling company packs the filled container in an outer carton
63, bottle ,CONTAINER-FOR-CONTENT, the guy proceeds to dump half a bottle on the steak , the fisherman uncorked the bottle , ketchup , container , the vandals smeared ketchup on the walls , a stranger in another vehicle flings a container onto the road
64, bottle ,CONTAINER-FOR-CONTENT, the man dumped the entire bottle into a decanter , people can not carry an open bottle , wine , container , any respectable drinker smells the wine , the consumer can grip the container comfortably
65, bottle ,CONTAINER-FOR-CONTENT, the bottle then splashed on their table , the bottle was lying among mounds of debris , wine , container , the wine flowed profusely , the container hit the floor
66, bottle ,CONTAINER-FOR-CONTENT, the bottle splattered all over his shirt , the bottles hang on a white metal frame , ketchup , container , ketchup has never tasted so salty , the container leaked onto the floor
67, bottle ,CONTAINER-FOR-CONTENT, amateurs can sample a particular bottle , the boy kicked the bottle , wine , container , the ice may dilute the wine , a husband retrieves a container from the refrigerator
68, bottle ,CONTAINER-FOR-CONTENT, the customer tried a few bottles , an angry horde tossed bottles , liquor , container , americans started distilling their own liquor , customers often reuse their own containers
69, glass ,CONTAINER-FOR-CONTENT, guests can savor a glass , my unnamed contact lifted his glass , wine , container , the dispenser can preserve any wine , the cashier weighs the empty container
70, bottle ,CONTAINER-FOR-CONTENT, one would have needed to ingest about 28 bottles per day , several stores label their bottles , wine , container , the posh appliance dispenses your wine , the children collected used containers
71, bottle ,CONTAINER-FOR-CONTENT, two students had poisoned her bottle , police had seized the bottle , water , container , one group only drank water , the label covers the entire container
72, glass ,CONTAINER-FOR-CONTENT, guests can spike their own glass , one of the girls suddenly hurled her glass at her , alcohol , container , the little girl had ingested alcohol , the actor frequently discards the drink containers outside
73, bag ,CONTAINER-FOR-CONTENT, people had mistakenly eaten the whole bag , the machine then seals the bag , candy , container , people unwrap weird japanese candies , other volunteers wrapped each container
74, bag ,CONTAINER-FOR-CONTENT, kids eat the whole bag , customers then shake the bag themselves , candy , container , the marchers were tossing candy , another inmate hurled a container at him 
75, bag ,CONTAINER-FOR-CONTENT, my mom boils the whole bag , the delivery man then simply refills the bag , potato , container , the convection ovens can bake 500 potatoes each hour , the woman placed the container on the counter
76, bag ,CONTAINER-FOR-CONTENT, the button will cook your bag , the steward picked up a bag , rice , container , women boiled rice over charcoal embers , the sledgehammer smashed a container
77, pack ,CONTAINER-FOR-CONTENT, hungry suspects have devoured over 30000 packs , shoppers automatically grab bigger packs , noodle , container , ramen fans slurp their noodles , californians are recycling more containers than ever
78, bag ,CONTAINER-FOR-CONTENT, the woman devoured half the bag , the man grabbed a couple more bags , chocolate , container , tasters sampled chocolates , diners shake the container
79, tin ,CONTAINER-FOR-CONTENT, the man went on to scoff several tins , the wait staff open the tins for each diner , bean , container , grandma may have cooked her green beans , the restaurant will even sanitize the containers
80, bag ,CONTAINER-FOR-CONTENT, experimenters won't scoff the whole bag , the woman handed out one-pound bags to chefs , food , container , volunteers prepare food , students broke the large containers into smaller portions
81, pack ,CONTAINER-FOR-CONTENT, the young mum scoffed 18 packs a day , the film fully wraps all packs , crisp , container , the fat couple guzzle crisps , the woman licked a container
82, bag ,CONTAINER-FOR-CONTENT, someone would be chopping a bag in the bleachers , my father had to carry those bags on his shoulder , onion , container , mexico has also been exporting onions , people will also utilize plastic containers of other types
83, bag ,CONTAINER-FOR-CONTENT, a fifth of adults munch family size bags alone , our reporter recently brought a bag into the office , chocolate , container , the factory manufactures chocolates , the dad snatches the container from his screaming child's hands
84, glass ,CONTAINER-FOR-CONTENT, out of shape sommeliers swill their glasses , all present appeared to be clutching glasses , wine , container , guests will savor wine , customers are encouraged to open the containers
85, tumbler ,CONTAINER-FOR-CONTENT, my father was sipping a crystal tumbler , people like to collect tumblers , spirit , container , the bartender has been distilling his own spirits for almost a decade , the 34 year old grabbed a container
86, tumbler ,CONTAINER-FOR-CONTENT, the photographer poured me a tumbler , the boxed set holds six tumblers , brandy , container , the distillery is also producing brandy , the students set forth to design the safest container
87, bottle ,CONTAINER-FOR-CONTENT, the whole bottle only lasted 36 hours , the bottles frequently burst , liquor , container , liquor poured down his throat , homemade containers hang from a train window
88, bottle ,CONTAINER-FOR-CONTENT, the bottle had leaked all over the inside of my pack , the bottle shattered on her head , water , container , the water quickly froze , the container previously featured bright colors
89, pack ,CONTAINER-FOR-CONTENT, those women consumed a pack or more per day , those women consumed a pack or more per day , cigarette , container , the worker is seen lighting his cigarette , the old man is seen shoving the containers inside his bag
90, author ,PRODUCER-FOR-PRODUCT, the author is translated into the language , the author will meet fans , novel , man , the novels are published in paperback , the man complained to staff
91, author ,PRODUCER-FOR-PRODUCT, an user borrowed this author , the editor contacted the author , volume , person , the painter illustrated a volume , the director will choose the person
92, author ,PRODUCER-FOR-PRODUCT, the anthology collects authors for adults , the company engaged an author , novel , person , actors are now writing novels , the company promotes a person
93, author ,PRODUCER-FOR-PRODUCT, monks copied classical authors , the committee represents authors , literature , people , politicians should read literature , its policy is damaging the people
94, author ,PRODUCER-FOR-PRODUCT, the humanist edited classical authors , censors intimidate authors , literature , people , the lecturer distributed anti-communist literature , advertising influences people 
95, author ,PRODUCER-FOR-PRODUCT, latin authors circulated in the ninth century , the authors wrote reverent tributes , book , man , other books contain french words , the men criticized the speech
96, author ,PRODUCER-FOR-PRODUCT, researchers quoted western authors extensively , big publishing houses intimidate their authors , novel , people , tv drama adapted the novels of the past , the company is hiring people 
97, writer ,PRODUCER-FOR-PRODUCT, american writers are on my shelves , the writer uses strong meaningful language , books , woman , older books need protection , the woman worked with tech teams
98, writer ,PRODUCER-FOR-PRODUCT, the reader devoured writers such as dostoevsky and kafka , the publisher pays the writer , novel , man , the scholar discusses the novels individually , the report accused the man
99, writer ,PRODUCER-FOR-PRODUCT, the series includes writers of various genres , the patron rewarded the writers , work , people , the program aims to translate literary works , the organization supports people
100, writer ,PRODUCER-FOR-PRODUCT, the academic paraphrased other writers , the company nurtured new writers , text , people , every age and culture interprets the texts in its own particular way , the program employs people
101, writer ,PRODUCER-FOR-PRODUCT, the platform distributes self-published writers , blue plaques celebrate writers , novels , people , each volume contains three novels , event organizers invite people
102, writer ,PRODUCER-FOR-PRODUCT, the journal features russian writers , countries venerated their writers , article , people , other publications included various articles , the state defends the people
103, writer ,PRODUCER-FOR-PRODUCT, the prose echoed earlier writers , the campaign counts writers , literature , people , the suspect read extremist literature , the company pays the people
104, poet ,PRODUCER-FOR-PRODUCT, the children memorized the poet , the journalist talked with the poet , poem , man , the editor corrected all the poems , the group approached the man
105, poet ,PRODUCER-FOR-PRODUCT, the speaker recited a poet , the organizers had invited the poet , verse , person , the imam murmured verses , an interpreter interviewed the person
106, poet ,PRODUCER-FOR-PRODUCT, the publisher printed poets , the landscape has inspired poets , book , people , people had begun burning books , the church has persuaded people
107, poet ,PRODUCER-FOR-PRODUCT, the philologist understood the poets , the kings patronized poets , poetry , man , the comedian performs poetry , his eye for talent benefited men
108, poet ,PRODUCER-FOR-PRODUCT, this poetry series features multicultural poets , the emperor exiled the poet , poetry , man , other children learnt poetry , police identified the man
109, contributor ,PRODUCER-FOR-PRODUCT, the magazine includes contributors , the blog is seeking contributors , article , people , the university contributes articles , my kind of criticism polarizes people
110, orator ,PRODUCER-FOR-PRODUCT, the professor studied the classic orators , the city boasted two remarkable orators , speech , man , the actor prepared 2 classical speeches , the memorial commemorates the men
111, historian ,PRODUCER-FOR-PRODUCT, the president cited the historian , this incident has always puzzled historians , book , people , a review summarized the book , authenticity is what inspires people
112, historian ,PRODUCER-FOR-PRODUCT, the student read a few different historians , the festival welcomes leading historians , work , people , this month's speaker will examine recent historical works , this gallery honors people
113, philosopher ,PRODUCER-FOR-PRODUCT, the scholars interpreted the philosopher , his work intrigued the philosopher , treatise , man , the man consulted the treatises , the scream scared the man
114, philosopher ,PRODUCER-FOR-PRODUCT, the student comprehended the philosopher , the woman married a philosopher , essay , man , the man punctuates his essays with quotations , the riders encountered a man
115, philosopher ,PRODUCER-FOR-PRODUCT, the debater makes use of philosophers , these questions engaged philosophers , text , people , the scholars preserved western texts , his language offends people
116, philosopher ,PRODUCER-FOR-PRODUCT, students can engage with classical philosophers , the problem has long troubled philosophers , treatise , people , her writing encompasses philosophical treatises , her story fascinates people
117, philosopher ,PRODUCER-FOR-PRODUCT, this course will explore a selection of philosophers , the company recruited a philosopher , work , person , the library contained many philosophical works , only two countries have executed a person
118, philosopher ,PRODUCER-FOR-PRODUCT, my teacher quoted the philosopher , the journalist meets philosophers , essay , man , the student produced the essay on time , his two children greeted the men 
119, psychologist ,PRODUCER-FOR-PRODUCT, students will study a variety of psychologists , some clubs now employ sports psychologists , book , people , the company digitized books , this issue involved the people
120, researcher ,PRODUCER-FOR-PRODUCT, the professor reviewed the researcher , critics accuse the researcher , paper , man , the abstract describes the paper , police detained the man
121, researcher ,PRODUCER-FOR-PRODUCT, the journal published a researcher , the company hired the researcher , article , woman , the editor rejected an article , the lawyer represented the woman
122, novelist ,PRODUCER-FOR-PRODUCT, the bookstore sells novelists like morrison and baldwin , the country fascinated the novelist , book , man , a girl saves books from burning  , the doctor treated the man
123, tragedian ,PRODUCER-FOR-PRODUCT, the scholars read the tragedians , the man ridiculed the tragedian , tragedy , person , the professor edited the tragedies , the group ignored the person
124, playwright ,PRODUCER-FOR-PRODUCT, the philosopher liked to quote the playwright , the theatre congratulated the playwright , play , man , the troupe mounts (mettere in scena) classic plays , the neighbor thanked the man
125, playwright ,PRODUCER-FOR-PRODUCT, the humanist performed the famous playwright , feminists accused the playwright , comedy , man , this phrase ends the comedy , the lady threatens the man
126, playwright ,PRODUCER-FOR-PRODUCT, the press publishes talented new playwrights , her performance impressed the playwright , play , man , the project adapts plays to modern language , a judge awarded the man
127, playwright ,PRODUCER-FOR-PRODUCT, the company showcases playwrights , the audience applauded the playwright , play , man , the festival has presented plays , the picture shows the man
128, playwright ,PRODUCER-FOR-PRODUCT, the project produces women playwrights , the movement championed new playwrights , play , people , the company staged plays , the extreme poverty humiliates people
129, playwright ,PRODUCER-FOR-PRODUCT, the producer directed the playwright , the event honors the playwright , drama , woman , a flashback structure would have deepened the drama , a spokesman accused the woman
130, band ,PRODUCER-FOR-PRODUCT, the stereo played the band , the band released an album , song , member , the video included the song , the members pursue other projects
131, band ,PRODUCER-FOR-PRODUCT, the critic reviewed the band , the label signed the band , album , member , the tour promotes the album , some critics have accused the members
132, artist ,PRODUCER-FOR-PRODUCT, the radio broadcasts new independent artists , record stores promote other artists , music , people , the ensemble executes his music , the psychologist helps people
133, artist ,PRODUCER-FOR-PRODUCT, producers remix top artists , very few organizations help artists , track , people , music fans will legally share tracks , the bigot hates the people
134, artist ,PRODUCER-FOR-PRODUCT, consumers can download current artists , this mentality afflicts artists , single , people , the compilation features hit singles , the initiative educates the people
135, songwriter ,PRODUCER-FOR-PRODUCT, artists cover influential songwriters , the team needed a songwriter , song , person , teenagers liked pop songs , the virus infected a person
136, songwriter ,PRODUCER-FOR-PRODUCT, the group interprets master songwriters , the corporation supports songwriters , song , people , the choir was singing love songs , the conferences informed the people
137, singer ,PRODUCER-FOR-PRODUCT, the listeners can hear american singers , the club hosts singers , song , people , the sergeans played marching songs , the district administration has warned the people
138, singer ,PRODUCER-FOR-PRODUCT, the woman interprets her favorite american singers , teenagers mob pop singers , song , people , listeners can pause the songs , some parties provoke the people
139, composer ,PRODUCER-FOR-PRODUCT, the guitarist plays spanish composers , the critic visited the composer , piece , man , the congregation listened to three pieces , intelligence officials regard the man
140, composer ,PRODUCER-FOR-PRODUCT, the cd includes romantic composers , the program trains american composers , ballad , people , her voices encompasses ballads , the organization mobilizes the people
141, composer ,PRODUCER-FOR-PRODUCT, the artist rehearsed classical composers , the company introduces new composers , composition , people , the instrumentalists presented compositions , the media misleads the people
142, composer ,PRODUCER-FOR-PRODUCT, the kid practiced composers of the classical canon , the royalty reimburses composers , piece , people , the concert has opened with three little pieces , the government should consult the people
143, guitarist ,PRODUCER-FOR-PRODUCT, the cd features key guitarists , numerous cafes host acoustic guitarists , solo , people , performers improvised solos by ear , many institutions evacuated the people
144, group ,PRODUCER-FOR-PRODUCT, this group sounds amazing , this group toured the globe , music , members , the music swells to a climax , the members signed the contract
145, rapper ,PRODUCER-FOR-PRODUCT, the buds were blasting a french rapper , the camera filmed the rapper , song , man , the children composed a song , the president nominates the man
146, rapper ,PRODUCER-FOR-PRODUCT, young people listen to rappers , most kids idolize the rapper , song , man , the musical features songs from the original film , one of two robbers ridiculed the man
147, artist ,PRODUCER-FOR-PRODUCT, the gallery shows the artist , the art critic celebrates the artist , painting , woman , few museums purchased paintings , the country beheaded the woman
148, artist ,PRODUCER-FOR-PRODUCT, the king collected many artists , the war had mobilized artists , artwork , people , institutions are valuing their artworks , colleges do not train the people
149, artist ,PRODUCER-FOR-PRODUCT, the platform exposes local artists , the city attracted artists , art , people , the warlords copied earlier art , the system hurts the people
150, artist ,PRODUCER-FOR-PRODUCT, the gallery exhibits renowned artists , the law protects artists , sculpture , people , the foundry cast the sculptures , the incident disappointed the people
151, painter ,PRODUCER-FOR-PRODUCT, two exhibitions feature notable painters , authorities charged the painter , painting , man , the gang stole paintings , officials have extradited the man
152, commentator ,PRODUCER-FOR-PRODUCT, the president quoted conservative commentator , the company invited 16 conservative commentators , words , people , my daughter can't read the words , only engaging communications motivate people
153, analyst ,PRODUCER-FOR-PRODUCT, the channel also quoted a political analyst , times reporter interviewed an analyst , report , man , the company plans to release a detailed report , organizers hired a man
154, columnist ,PRODUCER-FOR-PRODUCT, the paper is being paid to publish a columnist , the paper hired a columnist , article , man , writers can edit articles , officers went to question the man
155, author ,PRODUCER-FOR-PRODUCT, the man rates australian authors highly , many journalists interview the authors , book , people , big publishers are able to promote their books , the program had assisted 12 people
156, journalist ,PRODUCER-FOR-PRODUCT, women still retweet male journalists , the egyptian government is currently imprisoning 20 journalists , message , man , users should delete the message , club officers encourage men
157, expert ,PRODUCER-FOR-PRODUCT, thousands of people retweet our experts , the policy committee invited selected experts , article , people , many users shared articles , the feature has excited people
158, scholar ,PRODUCER-FOR-PRODUCT, the post then proceeded to cite two scholars , this artifact puzzles many scholars , research , people , the experts published their research , the published work intrigued some people
159, scholar ,PRODUCER-FOR-PRODUCT, my friends and i discussed historically famous scholars , the american university attracts scholars from all over the world , work , people , 100 scientists study his works , the stock market usually surprises people
160, scholar ,PRODUCER-FOR-PRODUCT, the man resorted to misquoting a scholar , teachers at each high school picked one scholar , text , pupil , the authors should consider revising the text , the academy has never excluded a pupil
161, scholar ,PRODUCER-FOR-PRODUCT, an increasing population of people read stoic scholars , the program also trained 100 scholars , study , man , the book presents case studies , police charged two young men
162, scholar ,PRODUCER-FOR-PRODUCT, the piece referenced the brilliant scholar , the president congratulated the young scholar , article , man , the blogger must submit the article , the two suspects kidnapped a young man
163, historian ,PRODUCER-FOR-PRODUCT, the future prime minister referenced the historian , the director contacted a prominent state historian , book , person , both honorees highly recommend a book , our office will prosecute the person
164, thinker ,PRODUCER-FOR-PRODUCT, historian references frankfurt school thinker , our nation needs a thinker , work , person , this lecture will examine her works , the assailant stabbed a person
165, researcher ,PRODUCER-FOR-PRODUCT, the article keeps referencing different researchers vaguely , the finding surprised even the researchers , studies , people , the paper analyzed seven different studies , an officer detained two people
166, scholar ,PRODUCER-FOR-PRODUCT, the volume incorporates dozens of scholars , fundamentalist terrorists assassinate scholars , essay , people , the star penned a short essay , meal programs fed 281000 people
167, author ,PRODUCER-FOR-PRODUCT, the company is revisiting classic authors and playwrights , three american filmmakers are suing a canadian author , work , person , companies continue to produce new contemporary work , scientists challenges one person
168, author ,PRODUCER-FOR-PRODUCT, critics in that industry won't even deign to review certain authors , three committees nominate authors , book , man , the customers devour many books , a delivery lorry trapped two men
169, writer ,PRODUCER-FOR-PRODUCT, the woman mainly reviews women writers , her production company has nurtured several writers , work , people , acclaimed poet will read his work , the story involves more people
170, house ,PRODUCER-FOR-PRODUCT, the 17-year-old model wore the parisian house from head to toe , the designer launched his house in 1947 , product , business , consumers purchase products , small firms want to grow their business
171, house ,PRODUCER-FOR-PRODUCT, the actress was the only one to wear the fashion house on the red carpet , the designer runs the house with his family , dress , business , the oscar winner sewed this dress herself , uk retailer has expanded its business
172, house ,PRODUCER-FOR-PRODUCT, the actress has worn the fashion house to several events , the designer opened his own house , suit , business , the characters sported suits , employees conducted their business
173, house ,PRODUCER-FOR-PRODUCT, the night will exhibit local fashion houses , the company owns the luxury fashion house , piece , brand , the sale includes elegant pieces , three of the five ads will promote the brand
174, designer ,PRODUCER-FOR-PRODUCT, the bombshell wears designers like michael kors , her look has inspired designers , creation , people , this special event displays hundreds of meticulously crafted creations , the weather could scare some people
175, designer ,PRODUCER-FOR-PRODUCT, the first lady wore indian-born american designer , the show invites a different designer , clothes , woman , their wives washed their contaminated clothes , the thief robbed a woman
176, designer ,PRODUCER-FOR-PRODUCT, duchess wears another aussie designer , the rich hired a designer , clothes , person , family donates clothes to homeless , the congressman should invite a different person
177, company ,PRODUCER-FOR-PRODUCT, their coach was wearing a rival company , the ex-model founded a fashion company , apparel , business , the company primarily retails apparels , the office manages the business
178, painter ,PRODUCER-FOR-PRODUCT, arrowhead gallery features two distinct painters , these paintings portray their respective painters , work , people , her recent shows have presented works , another fishing boat rescued the two people
179, painter ,PRODUCER-FOR-PRODUCT, this gallery combines painters from across its home country , the school sought renowned painters , artwork , man , the city commissioned the artworks , officers attempted to arrest the young men
180, painter ,PRODUCER-FOR-PRODUCT, many galleries house north korean painters  , mr. ashbery also befriended the young painters , art , people , a sculptor creates art for his town , subsidy programmes have benefited the people
181, painter ,PRODUCER-FOR-PRODUCT, the cinematographer studied local painters  , 40 other states do not license residential painters , work , people , children will create works , the state is looking at training more people
182, painter ,PRODUCER-FOR-PRODUCT, his mother admired 18th-century painters , dealers engaged unknown painters , painting , man , a fundraiser will auction paintings , surveillance cameras captured two men
183, painter ,PRODUCER-FOR-PRODUCT, poets help the public discover these young painters  , israeli forces detained the italian painters , work , man , the show highlights works , the foundation honors the men
184, writer ,PRODUCER-FOR-PRODUCT, once the students discover soviet writers , the festival engages top writers , work , people , this thread is for editors to promote their own works , police charged 13 people
185, photographer ,PRODUCER-FOR-PRODUCT, the exhibitions will include local photographers , the actress has confronted photographers herself before , picture , people , the calender has also carried 12 pictures , retailers haven't convinced people
